Round,Date,Home Team,Score,Away Team,Venue
1,"Saturday 20 March 14:20 (UTC+13)",Northern Mystics, 55 – 52,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
1,"Sunday 21 March 13:50 (UTC+10)",Queensland Firebirds, 47 – 50,New South Wales Swifts,Gold Coast Convention and Exhibition Centre
1,"Sunday 21 March 18:50 (UTC+13)",Southern Steel, 46 – 44,West Coast Fever,"Stadium Southland, Invercargill"
1,"Monday 22 March 19:20 (UTC+13)",Canterbury Tactix, 54 – 48,Central Pulse,"Westpac Arena, Christchurch"
1,"Monday 22 March 19:05 (UTC+11)",Melbourne Vixens, 48 – 40,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
2,"Saturday 27 March 14:20 (UTC+13)",Central Pulse, 50 – 61,Northern Mystics,"Te Rauparaha Arena, Porirua"
2,"Saturday 27 March 13:50 (UTC+10:30)",Adelaide Thunderbirds, 38 – 45,New South Wales Swifts,"ETSA Park, Adelaide"
2,"Sunday 28 March 14:50 (UTC+11)",Melbourne Vixens, 53 – 46,Queensland Firebirds,"Hisense Arena, Melbourne"
2,"Monday 29 March 19:20 (UTC+13)",Waikato Bay of Plenty Magic, 47 – 41,Southern Steel,"Energy Events Centre, Rotorua"
2,"Monday 29 March 17:05 (UTC+8)",West Coast Fever, 62 – 44,Canterbury Tactix,"Challenge Stadium, Perth"
3,"Saturday 3 April 14:20 (UTC+13)",Northern Mystics, 46 – 55,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
3,"Sunday 4 April 14:50 (UTC+10)",Queensland Firebirds, 40 – 41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
3,"Sunday 4 April 18:50 (UTC+12)",Canterbury Tactix, 53 – 56,New South Wales Swifts,"Westpac Arena, Christchurch"
3,"Monday 5 April 19:20 (UTC+12)",Southern Steel, 56 – 44,Central Pulse,"Edgar Centre, Dunedin"
3,"Monday 5 April 18:05 (UTC+8)",West Coast Fever, 50 – 64,Melbourne Vixens,"Challenge Stadium, Perth"
4,"Saturday 10 April 14:20 (UTC+12)",Waikato Bay of Plenty Magic, 55 – 50,West Coast Fever,"Mystery Creek Events Centre, Hamilton"
4,"Saturday 10 April 14:20 (UTC+10)",New South Wales Swifts, 50 – 36,Central Pulse,"State Sports Centre, Sydney"
4,"Sunday 11 April 14:20 (UTC+9:30)",Adelaide Thunderbirds, 53 – 36,Southern Steel,"ETSA Park, Adelaide"
4,"Monday 12 April 19:20 (UTC+12)",Canterbury Tactix, 49 – 64,Melbourne Vixens,"Westpac Arena, Christchurch"
4,"Monday 12 April 19:05 (UTC+10)",Queensland Firebirds, 71 – 54,Northern Mystics,Brisbane Convention and Exhibition Centre
5,"Saturday 17 April 14:20 (UTC+12)",Central Pulse, 40 – 75,Adelaide Thunderbirds,"TSB Bank Arena, Wellington"
5,"Sunday 18 April 14:50 (UTC+10)",New South Wales Swifts, 55 – 43,West Coast Fever,Newcastle Entertainment Centre
5,"Sunday 18 April 18:50 (UTC+12)",Canterbury Tactix, 36 – 53,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
5,"Monday 19 April 19:20 (UTC+12)",Southern Steel, 41 – 56,Queensland Firebirds,"Stadium Southland, Invercargill"
5,"Monday 19 April 19:05 (UTC+10)",Melbourne Vixens, 62 – 51,Northern Mystics,"Hisense Arena, Melbourne"
6,"Saturday 24 April 14:20 (UTC+12)",Northern Mystics, 59 – 50,Canterbury Tactix,"Trusts Stadium, Auckland"
6,"Sunday 25 April 14:20 (UTC+10)",Queensland Firebirds, 62 – 41,Melbourne Vixens,Brisbane Convention and Exhibition Centre
6,"Monday 26 April 19:20 (UTC+12)",Central Pulse, 40 – 64,Southern Steel,"TSB Bank Arena, Wellington"
6,"Monday 26 April 18:05 (UTC+8)",West Coast Fever, 37 – 57,Adelaide Thunderbirds,"Challenge Stadium, Perth"
6,BYES:  New South Wales Swifts and Waikato Bay of Plenty Magic,,,,
7,"Saturday 1 May 14:20 (UTC+12)",Canterbury Tactix, 38 – 66,Southern Steel,"Westpac Arena, Christchurch"
7,"Sunday 2 May 14:50 (UTC+10)",New South Wales Swifts, 56 – 42,Melbourne Vixens,"Acer Arena, Sydney"
7,"Monday 3 May 19:20 (UTC+12)",Waikato Bay of Plenty Magic, 49 – 46,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
7,"Monday 3 May 19:05 (UTC+10)",Queensland Firebirds, 63 – 57,West Coast Fever,Brisbane Convention and Exhibition Centre
7,BYES:  Adelaide Thunderbirds and Central Pulse,,,,
8,"Saturday 8 May 14:20 (UTC+12)",Waikato Bay of Plenty Magic, 56 – 44,Central Pulse,"Energy Events Centre, Rotorua"
8,"Sunday 9 May 14:50 (UTC+10)",New South Wales Swifts, 60 – 44,Adelaide Thunderbirds,"State Sports Centre, Sydney"
8,"Monday 10 May 19:20 (UTC+12)",Southern Steel, 49 – 52,Northern Mystics,"Stadium Southland, Invercargill"
8,"Monday 10 May 19:05 (UTC+10)",Melbourne Vixens, 53 – 56,West Coast Fever,"Hisense Arena, Melbourne"
8,BYES:  Queensland Firebirds and Canterbury Tactix,,,,
9,"Saturday 15 May 14:20 (UTC+12)",Waikato Bay of Plenty Magic, 72 – 52,Canterbury Tactix,"Mystery Creek Events Centre, Hamilton"
9,"Sunday 16 May 14:20 (UTC+9:30)",Adelaide Thunderbirds, 58 – 47,Melbourne Vixens,"ETSA Park, Adelaide"
9,"Monday 17 May 19:20 (UTC+12)",Northern Mystics, 61 – 60,Central Pulse,"Trusts Stadium, Auckland"
9,"Monday 17 May 19:05 (UTC+10)",New South Wales Swifts, 44 – 40,Queensland Firebirds,"State Sports Centre, Sydney"
9,BYES:  West Coast Fever and Southern Steel,,,,
10,"Saturday 22 May 14:20 (UTC+12)",Central Pulse, 45 – 43,Canterbury Tactix,"TSB Bank Arena, Wellington"
10,"Sunday 23 May 14:20 (UTC+9:30)",Adelaide Thunderbirds, 53 – 51,Queensland Firebirds,"ETSA Park, Adelaide"
10,"Monday 24 May 19:20 (UTC+12)",Southern Steel, 52 – 47,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
10,"Monday 24 May 18:05 (UTC+8)",West Coast Fever, 52 – 61,New South Wales Swifts,"Challenge Stadium, Perth"
10,BYES:  Melbourne Vixens and Northern Mystics,,,,
11,"Saturday 29 May 14:20 (UTC+12)",Northern Mystics, 48 – 54,New South Wales Swifts,"Trusts Stadium, Auckland"
11,"Sunday 30 May 14:20 (UTC+9:30)",Adelaide Thunderbirds, 58 – 34,Canterbury Tactix,"ETSA Park, Adelaide"
11,"Sunday 30 May 18:50 (UTC+12)",Southern Steel, 52 – 39,Melbourne Vixens,"Edgar Centre, Dunedin"
11,"Monday 31 May 19:20 (UTC+12)",Waikato Bay of Plenty Magic, 54 – 55,Queensland Firebirds,"Energy Events Centre, Rotorua"
11,"Monday 31 May 17:05 (UTC+8)",West Coast Fever, 63 – 45,Central Pulse,"Challenge Stadium, Perth"
12,"Saturday 5 June 14:20 (UTC+12)",Northern Mystics, 62 – 53,West Coast Fever,"North Shore Events Centre, Auckland"
12,"Saturday 5 June 14:20 (UTC+10)",Queensland Firebirds, 52 – 42,Central Pulse,Brisbane Convention and Exhibition Centre
12,"Sunday 6 June 14:50 (UTC+10)",Melbourne Vixens, 43 – 54,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
12,"Monday 7 June 19:20 (UTC+12)",Southern Steel, 53 – 39,Canterbury Tactix,"Stadium Southland, Invercargill"
12,"Monday 7 June 19:05 (UTC+10)",New South Wales Swifts, 60 – 43,Waikato Bay of Plenty Magic,"State Sports Centre, Sydney"
13,"Saturday 12 June 14:20 (UTC+12)",Central Pulse, 52 – 58,Waikato Bay of Plenty Magic,"Pettigrew Green Arena, Napier"
13,"Saturday 12 June 14:20 (UTC+10)",Melbourne Vixens, 46 – 58,New South Wales Swifts,"Hisense Arena, Melbourne"
13,"Sunday 13 June 14:20 (UTC+9:30)",Adelaide Thunderbirds, 54 – 45,West Coast Fever,"Adelaide Arena, Adelaide"
13,"Monday 14 June 19:20 (UTC+12)",Northern Mystics, 43 – 50,Southern Steel,"Trusts Stadium, Auckland"
13,"Monday 14 June 19:05 (UTC+10)",Queensland Firebirds, 75 – 32,Canterbury Tactix,Brisbane Convention and Exhibition Centre
14,"Saturday 19 June 14:20 (UTC+12)",Waikato Bay of Plenty Magic, 53 – 44,Adelaide Thunderbirds,"Energy Events Centre, Rotorua"
14,"Sunday 20 June 12:50 (UTC+8)",West Coast Fever, 67 – 59,Queensland Firebirds,"Challenge Stadium, Perth"
14,"Sunday 20 June 18:50 (UTC+12)",Canterbury Tactix, 47 – 58,Northern Mystics,"Westpac Arena, Christchurch"
14,"Monday 21 June 19:20 (UTC+12)",Central Pulse, 48 – 49,Melbourne Vixens,"Te Rauparaha Arena, Porirua"
14,"Monday 21 June 19:05 (UTC+10)",New South Wales Swifts, 55 – 38,Southern Steel,"State Sports Centre, Sydney"
15,"Sunday 27 June 14:50 (UTC+10)",New South Wales Swifts, 38 - 52,Adelaide Thunderbirds,"Acer Arena, Sydney"
15,"Monday 28 June 19:20 (UTC+12)",Waikato Bay of Plenty Magic, 50 - 42,Southern Steel,"Vector Arena, Auckland" 
16,"Sunday 4 July 14:50 (UTC+10)",New South Wales Swifts, 49 - 54,Waikato Bay of Plenty Magic,Newcastle Entertainment Centre
17,"Sunday 11 July 14:30 (UTC+9:30)",Adelaide Thunderbirds, 52 - 42,Waikato Bay of Plenty Magic,Adelaide Entertainment Centre
